id;external_id;name;postal_code;city;street_address
1;Isle;Fantastic;connecting Personal Loan Account;Macport;Money Market Account backing up
2;interface bypass;Enterprise-wide Frozen;monitor teal Auto Loan Account;Bodefurt;Metal Analyst content
3;backing up Integrated mobile;Small;Ball enable panel;Port Salmashire;Greece Quality
4;e-markets;invoice Road standardization;protocol SCSI;Marceloville;Haven Handcrafted
5;Philippines;standardization tan deposit;China;Teaganview;Graphic Interface middleware
6;compressing viral;platforms Grass-roots;HTTP;Thaliaport;Investment Account content plum
7;Gorgeous Soft Car;leverage copying architectures;THX generating Borders;East Cynthia;Granite
8;quantify;morph;Gorgeous California;North Samson;Quality Azerbaijanian Manat
9;plug-and-play;firewall Savings Account redundant;monetize THX;Laurianeside;eco-centric Libyan Arab Jamahiriya
10;AGP Pants;array unleash;Buckinghamshire RAM Auto Loan Account;Marianefort;transitional
