id;external_id;name;postal_code;city;street_address
1;mobile Fish;Home Loan Account Table Computer;Trace;New Bryon;deposit Tasty Metal Bacon Implementation
2;Chips;Money Market Account;Albania web-readiness;South Leopold;Steel zero administration
3;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;Cecileview;Automotive
4;Planner cross-platform access;Public-key;infomediaries;New Jermeyfort;Salad
5;Digitized invoice;convergence;Mayotte;North Wadehaven;Views e-enable Communications
6;National Awesome sky blue;Tactics;scale interactive generating;Port Earl;Faroe Islands Plastic
7;Car Industrial deliverables;orange Books;magenta monitor 1080p;Aprilside;deposit Internal
8;Investment Account archive Fantastic Plastic Chicken;payment;withdrawal COM;West Blake;bus synthesize Idaho
9;Networked Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;Sydneyland;Investment Account
10;override User-centric;Money Market Account;Salad Web virtual;Benedicthaven;digital maroon
